"Gene","baseMean","log2FC","lfcSE","stat","PValue","FDR","log2FCabs"
"bsmA",1139.96166321888,-2.64283684999663,0.395451190530039,-6.68309241010081,2.33951940576487e-11,1.58753102534045e-09,2.64283684999663
"carA",1085.89767835417,3.20171200111152,0.833591211611032,3.8408658302956,0.000122601114144587,0.00243776633938655,3.20171200111152
"carB",2265.78873113882,3.20985342078661,0.755164007138774,4.25053814859153,2.13257508063936e-05,0.000503688313244931,3.20985342078661
"cdaR",329.027858546804,-1.41808404558863,0.308140385134336,-4.6020713739629,4.18309795389779e-06,0.000116880678123615,1.41808404558863
"chiP",109.949723053825,-2.08189134033823,0.3828417985158,-5.43799383559814,5.38838383997227e-08,2.17314536942278e-06,2.08189134033823
"cmtB",13.3545818750704,-2.23777283091157,0.66452022713038,-3.36750145375563,0.000758526265197697,0.0111817233921385,2.23777283091157
"cpdA",2294.93825752632,-1.06319688281564,0.325048547381875,-3.27088643028628,0.00107210956074149,0.0149292129386641,1.06319688281564
"cpdB",2181.2153017852,-1.99342447305581,0.340831457968681,-5.84871034186927,4.9539890153377e-09,2.25301096176263e-07,1.99342447305581
"crfC",709.546958550019,-1.18822663303255,0.331044951627304,-3.58932110938901,0.000331540252368123,0.00538910486263774,1.18822663303255
"cspD",29617.2443180335,-2.1301186008522,0.321320024254359,-6.62927436842834,3.37341046338214e-11,2.21866611245518e-09,2.1301186008522
"cstA",4283.60229686225,-2.11676131632057,0.303535217394295,-6.97369265580433,3.08728159885236e-12,2.58786839903801e-10,2.11676131632057
"cyaR",62.4105458981,-1.50829850384767,0.366996960501975,-4.10983922532936,3.95934685041097e-05,0.000863582029872801,1.50829850384767
"cytR",1107.83355687091,-1.15320882506179,0.322491936977387,-3.57593072208392,0.000348984068373946,0.00560867252743842,1.15320882506179
"dctA",968.00652171843,-2.36973470271804,0.3332160910077,-7.11170548682558,1.14617646682664e-12,1.11361463538271e-10,2.36973470271804
"ddpX",42.522132882402,-1.35049643710986,0.472131300144477,-2.86042555682412,0.00423072867548455,0.0454431283610464,1.35049643710986
"dgoD",131.740856109531,-1.78651472568726,0.473750160968923,-3.77100605524534,0.000162590727274191,0.00308022369379517,1.78651472568726
"dmlR",605.441651278997,-1.42380265546461,0.397605619122592,-3.58094198619868,0.000342357672085961,0.00554386003093744,1.42380265546461
"edd",840.522085841874,1.19614015921688,0.397059994521145,3.0124922573966,0.002591120458784,0.0312029294684553,1.19614015921688
"eno",116201.596972869,1.22101550338266,0.392694797279064,3.10932437058738,0.00187515729734107,0.023787232777843,1.22101550338266
"eptB",1542.9462811538,-1.18395377711494,0.25017273890232,-4.7325451298561,2.21721986387795e-06,6.5369758055712e-05,1.18395377711494
"eutM",34.4452950709428,-1.11763733889525,0.383171996543366,-2.91680328671606,0.00353638727476231,0.039784356841076,1.11763733889525
"fadH",140.496083076458,-2.24972467917657,0.38493956217073,-5.84435818051552,5.08525055555006e-09,2.28836274999753e-07,2.24972467917657
"fadI",256.322437296271,-2.05722677703951,0.284594564024699,-7.22862288002439,4.87916238679062e-13,4.96629028655474e-11,2.05722677703951
"fadJ",547.081564545684,-2.04404576843781,0.270568967290117,-7.55462013589343,4.2008406446236e-14,4.98849826549053e-12,2.04404576843781
